The result as follows
position     rou     u     p
5  0.97353  -8.05625e-13  1
5.05  1.0234  -9.55273e-13  1
5.1  1.07181  -9.9527e-13  1
5.15  1.11576  -9.36156e-13  1
5.2  1.15251  -8.19619e-13  1
5.25  1.17978  -6.52697e-13  1
5.3  1.19587  -4.78008e-13  1
5.35  1.19978  -3.21176e-13  1
5.4  1.19128  -1.77543e-13  1
5.45  1.17087  -3.64643e-14  1
5.5  1.13985  1.03679e-13  1
5.55  1.10013  2.44735e-13  1
5.6  1.05418  3.98713e-13  1
5.65  1.00487  5.7607e-13  1
5.7  0.955249  7.67314e-13  1
5.75  0.908414  9.43265e-13  1
5.8  0.867273  1.06693e-12  1
5.85  0.834385  1.12509e-12  1
5.9  0.811794  1.0907e-12  1
5.95  0.800904  9.48497e-13  1
6  0.802394  7.35946e-13  1
6.05  0.816169  4.6356e-13  1
6.1  0.841375  1.32123e-13  1
6.15  0.876442  -2.17507e-13  1
6.2  0.919192  -5.32725e-13  1
6.25  0.966967  -7.85117e-13  1
6.3  1.01679  -9.40372e-13  1
6.35  1.06558  -9.89182e-13  1
6.4  1.11029  -9.41108e-13  1
6.45  1.14813  -8.25915e-13  1
6.5  1.17677  -6.67778e-13  1
6.55  1.19442  -5.05826e-13  1
6.6  1.19998  -3.50725e-13  1
6.65  1.19311  -2.03026e-13  1
6.7  1.17423  -5.63475e-14  1
6.75  1.14451  8.49883e-14  1
6.8  1.10582  2.24094e-13  1
6.85  1.06054  3.76941e-13  1
6.9  1.0115  5.53184e-13  1
6.95  0.961741  7.42719e-13  1
7  0.914363  9.20159e-13  1
7.05  0.87231  1.0547e-12  1
7.1  0.838196  1.12616e-12  1
7.15  0.814142  1.11031e-12  1
7.2  0.801644  9.75969e-13  1
7.25  0.801479  7.63088e-13  1
7.3  0.813657  4.94621e-13  1
7.35  0.83742  1.66171e-13  1
7.4  0.871292  -1.83403e-13  1
7.45  0.913167  -4.99086e-13  1
7.5  0.96044  -7.59693e-13  1
7.55  1.01017  -9.30939e-13  1
7.6  1.05927  -9.89632e-13  1
7.65  1.10469  -9.5262e-13  1
7.7  1.14359  -8.34649e-13  1
7.75  1.17357  -6.92506e-13  1
7.8  1.19276  -5.38686e-13  1
7.85  1.19996  -3.74872e-13  1
7.9  1.19473  -2.19618e-13  1
7.95  1.17739  -7.10684e-14  1
8  1.14902  6.75132e-14  1
8.05  1.11139  2.05766e-13  1
8.1  1.06683  3.56031e-13  1
8.15  1.01812  5.25559e-13  1
8.2  0.968275  7.12263e-13  1
8.25  0.920407  8.91837e-13  1
8.3  0.877488  1.03882e-12  1
8.35  0.842186  1.12503e-12  1
8.4  0.816696  1.1237e-12  1
8.45  0.802603  1.00517e-12  1
8.5  0.800783  7.96949e-13  1
8.55  0.811349  5.27113e-13  1
8.6  0.833645  2.0215e-13  1
8.65  0.866284  -1.39899e-13  1
8.7  0.907237  -4.4952e-13  1
8.75  0.953957  -7.01226e-13  1
8.8  1.00354  -8.91128e-13  1
8.85  1.0529  -1.00791e-12  1
8.9  1.09898  -1.07766e-12  1
8.95  1.1389  -1.10207e-12  1
9  1.17018  -1.11783e-12  1
9.05  1.19088  -1.09997e-12  1
9.1  1.19972  -1.10066e-12  1
9.15  1.19614  -1.04094e-12  1
9.2  1.18036  -1.00775e-12  1
9.25  1.15337  -9.04083e-13  1
9.3  1.11684  -8.80471e-13  1
9.35  1.07305  -7.04473e-13  1
9.4  1.02471  -6.49456e-13  1
9.45  0.974845  -3.6584e-13  1
9.5  0.926539  -3.29627e-13  1
9.55  0.882801  2.02333e-14  1
9.6  0.846349  -1.03997e-13  1
9.65  0.819451  2.44024e-13  1
9.7  0.803778  -1.49044e-13  1
9.75  0.800306  2.1913e-13  1
9.8  0.809249  -4.95433e-13  1
9.85  0.830053  4.90224e-14  1
9.9  0.861423  -9.2407e-13  1
9.95  0.901409  0  1
10  0.947525  0  1
